,name,author,narrator,release_date,language,stars,price,duration_sec,raters
56,You Only Die Twice,Dan Gutman,Michael Goldstrom,2013-09-17,English,5.0,585.0,20940,5
57,From Texas with Love,Dan Gutman,Michael Goldstrom,2014-01-28,English,5.0,702.0,19620,6
58,The Dragonet Prophecy,Tui T Sutherland,Shannon Mc Manus,2012-07-01,English,5.0,820.0,30720,11
59,Dangerous Gift,Tui T Sutherland,Shannon Mc Manus,2021-03-02,English,5.0,445.0,28260,9
60,"The 39 Clues, Book 6",Jude Watson,David Pittu,2009-11-06,English,5.0,468.0,18600,4
61,Never Say Genius,Dan Gutman,Michael Goldstrom,2013-08-23,English,5.0,585.0,19620,8
62,The Madman of Black Bear Mountain,Franklin W Dixon,Tim Gregory,2016-06-07,English,5.0,305.0,10440,3
63,Tiger Honor,Yoon Ha Lee,Elissa Park,2022-01-04,English,5.0,586.0,27360,1
64,The Amulet of Samarkand,Jonathan Stroud,Steven Pacey,2007-02-01,English,5.0,683.0,34200,17
65,Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Christopher Gebauer,2021-03-16,English,3.5,410.0,5340,7
66,Lost in the End,Winter Morgan,Summer Mc Cusker,2016-04-06,English,5.0,233.0,6180,5
67,Trouble Island,Franklin W Dixon,Tim Gregory,2021-06-01,English,5.0,305.0,15840,2
68,Riverboat Roulette,Carolyn Keene,Jorjeana Marie,2017-03-20,English,5.0,305.0,9960,4
69,Discoveries in the Overworld,Winter Morgan,Summer Mc Cusker,2016-04-06,English,5.0,233.0,6540,4
70,The Last Human,Lee Bacon,Paul Panting,2019-10-03,English,5.0,949.0,24120,7
71,An Explorer's Guide to the Nether,Winter Morgan,Summer Mc Cusker,2016-03-30,English,5.0,233.0,6600,4
72,The Midnight Gang,David Walliams,David Walliams Peter Serafinowicz Morwenna Banks,2016-11-15,English,4.5,322.0,22140,3
73,The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,Devin Hunter,Ramon De Ocampo,2018-10-30,English,5.0,585.0,7860,2
74,A Boy Called Christmas,Matt Haig,Stephen Fry,2016-11-03,English,4.5,569.0,16320,21
75,"The 39 Clues, Book 4",Jude Watson,David Pittu,2009-06-23,English,5.0,468.0,16620,6
76,"The 39 Clues, Book 3",Peter Lerangis,David Pittu,2009-03-03,English,5.0,468.0,13860,9
77,The Disappearance,Franklin W Dixon,Tim Gregory,2019-05-14,English,4.0,305.0,13800,1
78,Billionaire Boy,David Walliams,David Walliams Nitin Ganatra,2011-06-09,English,5.0,266.0,11280,1
79,The Blue Lady of Coffin Hall,Carolyn Keene,Jorjeana Marie,2022-01-04,English,5.0,305.0,13920,2
80,Unlocked,Shannon Messenger,Caitlin Kelly,2021-06-04,English,3.0,836.0,57720,5
